date,returns,equity_id,open,high,low,close,adj_close
01-09-2022,0.008002784,10286,57.28,58.25,56.6853,57.94,57.94
31-08-2022,-0.007253886,10286,58.13,58.51,57.07,57.48,57.48
30-08-2022,-0.013292434,10286,58.76,59.09,57.4032,57.9,57.9
29-08-2022,-0.005423729,10286,58.76,59.39,58.11,58.68,58.68
26-08-2022,-0.0326283,10286,60.89,60.89,58.52,59,59
25-08-2022,0.02486977,10286,59.71,61.19,59.54,60.99,60.99
24-08-2022,0.005066712,10286,59.45,59.715,58.73,59.51,59.51
04-08-2022,0.014290354,10286,61.38,62.745,61.08,62.46,62.46
03-08-2022,0.031490787,10286,59.8,61.92,59.375,61.58,61.58
02-08-2022,-0.026418787,10286,60.78,60.9,59.45,59.7,59.7
01-08-2022,0.019112515,10286,59.59,62.37,59.185,61.32,61.32
29-07-2022,0.019657685,10286,59.1,60.485,58.57,60.17,60.17
28-07-2022,0.025013028,10286,57.95,59.145,57.34,59.01,59.01
27-07-2022,0.016778523,10286,56.78,58.1,56.49,57.57,57.57
26-07-2022,0.003189227,10286,56.23,56.88,55.4711,56.62,56.62
25-07-2022,-0.006338028,10286,57.14,57.3,55.84,56.44,56.44
22-07-2022,-0.014402221,10286,57.48,57.84,56.31,56.8,56.8
21-07-2022,0.037257019,10286,55.7,57.635,54.93,57.63,57.63
20-07-2022,0.023016019,10286,54.38,55.8,54.17,55.56,55.56
19-07-2022,0.039823856,10286,52.77,54.71,51.3352,54.31,54.31
18-07-2022,-0.032419415,10286,54.1,54.1,52,52.23,52.23
15-07-2022,0.017530631,10286,53.72,54.115,51.9729,53.98,53.98
14-07-2022,-0.013390366,10286,53.29,53.62,52.55,53.05,53.05
13-07-2022,-0.024492017,10286,54.89,54.89,53.18,53.77,53.77
12-07-2022,0.012862918,10286,54.52,56.12,54.52,55.12,55.12
11-07-2022,-0.005482456,10286,54.5,55.28,53.655,54.42,54.42
08-07-2022,-0.019003227,10286,55.67,56,54.01,54.72,54.72
07-07-2022,-0.002860207,10286,56.19,56.755,54.88,55.78,55.78
06-07-2022,-0.014793942,10286,57.01,57.255,55.54,55.94,55.94
05-07-2022,0.018110095,10286,54.98,56.85,54.24,56.78,56.78
01-07-2022,0.01844412,10286,54.41,55.86,53.99,55.77,55.77
30-06-2022,0.041460631,10286,52.15,54.76,51.87,54.76,54.76
29-06-2022,0.005353728,10286,52.41,52.67,51.55,52.58,52.58
28-06-2022,-0.028783658,10286,53.93,54.37,52.194,52.3,52.3
27-06-2022,0.011837655,10286,53.57,54.385,52.9889,53.85,53.85
24-06-2022,0.015648855,10286,52.87,54.1,52.6,53.22,53.22
23-06-2022,0.028863145,10286,50.93,52.455,50.745,52.4,52.4
22-06-2022,0.019415532,10286,49.43,51.215,48.975,50.93,50.93
21-06-2022,-0.019623234,10286,51.25,51.26,49.84,49.96,49.96
17-06-2022,-0.006434003,10286,51.94,52.56,50.95,50.96,50.96
16-06-2022,-0.017621145,10286,51.3,51.64,50.04,51.29,51.29
15-06-2022,0.003845414,10286,52.19,52.93,51.83,52.21,52.21
14-06-2022,0.001154957,10286,51.73,52.64,51.13,52.01,52.01
13-06-2022,-0.000961538,10286,50.92,52.24,50.51,51.95,51.95
10-06-2022,-0.056945956,10286,54.25,54.25,51.95,52,52
09-06-2022,-0.008273381,10286,55.25,55.8,54.74,55.14,55.14
08-06-2022,0.00270514,10286,55.35,56.12,54.9,55.6,55.6
07-06-2022,-0.015971606,10286,55.75,55.9917,54.48,55.45,55.45
06-06-2022,0.016414141,10286,55.68,56.43,55.08,56.35,56.35
03-06-2022,0.000360881,10286,55.15,55.64,54.62,55.44,55.44
02-06-2022,0.022994865,10286,54.56,55.63,54.3581,55.42,55.42
01-06-2022,0.014557671,10286,53.55,54.41,53.025,54.36,54.17427
31-05-2022,0.008849516,10286,53.165,53.63,51.91,53.58,53.396935
27-05-2022,0.007015551,10286,53.13,53.94,52.705,53.11,52.928543
26-05-2022,0.01814677,10286,52.18,52.94,51.35,52.74,52.559807
18-05-2022,-0.034136961,10286,50.76,51.315,49.58,50.08,49.908894
17-05-2022,0.016666669,10286,51.89,52.25,51.34,51.85,51.672848
16-05-2022,-0.044406942,10286,53.03,53.04,49.82,51,50.825752
13-05-2022,0.006791152,10286,53.25,54.245,52.69,53.37,53.187653
25-05-2022,0.015885458,10286,51.21,52.39,50.92,51.8,51.623016
24-05-2022,-0.006236646,10286,50.93,51.2,49.1372,50.99,50.815784
23-05-2022,-0.005041658,10286,52.16,52.68,49.8891,51.31,51.134693
20-05-2022,0.027495537,10286,51.01,51.58,49.575,51.57,51.393803
19-05-2022,0.002196462,10286,49.68,50.89,49.36,50.19,50.018517
12-05-2022,0.055976112,10286,50.55,53.0884,49.52,53.01,52.828884
11-05-2022,-0.055858629,10286,52.81,52.96,49.93,50.2,50.028484
10-05-2022,-0.015552601,10286,54.7,54.87,51.05,53.17,52.98834
09-05-2022,0.036461345,10286,51.29,54.58,49,54.01,53.825466
06-05-2022,0.087210486,10286,52.72,52.72,49.855,52.11,51.931957
05-05-2022,-0.045820216,10286,49.37,49.69,47.5,47.93,47.76624
04-05-2022,0.030253139,10286,48.89,50.09,47.74,50.06,50.06
03-05-2022,-0.018383838,10286,49.43,49.52,48.21,48.59,48.59
02-05-2022,0.015592942,10286,48.77,50.195,48.16,49.5,49.5
11-04-2022,0.003462204,10286,51.89,54.23,51.4277,52.17,52.17
08-04-2022,-0.019426631,10286,52.95,53.66,51.88,51.99,51.99
07-04-2022,-0.010636313,10286,53.39,53.77,52.86,53.02,53.02
06-04-2022,-0.018138512,10286,53.89,54.83,53.51,53.59,53.59
05-04-2022,-0.018874708,10286,55.59,55.8635,54.26,54.58,54.58
04-04-2022,-0.010142349,10286,56.15,56.16,54.64,55.63,55.63
01-04-2022,0.008433519,10286,56.12,56.53,55.43,56.2,56.2
31-03-2022,-0.002862766,10286,55.77,56.61,55.305,55.73,55.73
30-03-2022,-0.00392087,10286,56.02,56.86,55.67,55.89,55.89
29-03-2022,0.075316213,10286,54.04,56.695,53.13,56.11,56.11
28-03-2022,-0.001148545,10286,52.72,52.81,51.18,52.18,52.18
25-03-2022,-0.013036085,10286,52.93,53.21,51.89,52.24,52.24
24-03-2022,-0.013971684,10286,54.04,55.17,52.425,52.93,52.93
23-03-2022,-0.036092656,10286,55.31,55.35,53.535,53.68,53.68
22-03-2022,-0.019542254,10286,56.8,57.365,55.44,55.69,55.69
21-03-2022,-0.02739726,10286,58.11,58.15,56.52,56.8,56.8
18-03-2022,0.038591499,10286,56.4,58.65,56.012,58.4,58.4
17-03-2022,-0.008289242,10286,56.4,57,55.95,56.23,56.23
16-03-2022,0.046125461,10286,54.46,56.84,54.46,56.7,56.7
15-03-2022,0.025932235,10286,53.29,54.24,52.7194,54.2,54.2
14-03-2022,-0.018759287,10286,53.84,54.25,52.26,52.83,52.83
11-03-2022,-0.013196481,10286,54.69,55,53.495,53.84,53.84
10-03-2022,-0.009081003,10286,54.28,54.6,53.58,54.56,54.56
09-03-2022,0.027814075,10286,54.27,55.22,53.2546,55.06,55.06
08-03-2022,-0.013262111,10286,54.26,55.35,53.49,53.57,53.57
07-03-2022,-0.000552283,10286,54.52,54.95,54.04,54.29,54.29
04-03-2022,0.005739678,10286,53.47,54.55,52.55,54.32,54.32
03-03-2022,-0.025442079,10286,55.91,56.15,53.83,54.01,54.01
02-03-2022,-0.030779993,10286,57.26,57.76,55.145,55.42,55.42
01-03-2022,-0.023565574,10286,55.22,58.28,54.74,57.18,57.18
28-02-2022,0.000854555,10286,57.88,59.5907,57.665,58.56,58.56
25-02-2022,0.019871013,10286,57.68,58.78,56.755,58.51,58.51
24-02-2022,0.013067279,10286,55.43,57.615,55.1499,57.37,57.37
23-02-2022,-0.015986099,10286,57.75,59.28,56.5,56.63,56.63
22-02-2022,-0.011508073,10286,57.94,58.23,57.0418,57.55,57.55
18-02-2022,0.001375989,10286,57.86,59.42,57.86,58.22,58.22
17-02-2022,-0.025967499,10286,59.4,59.54,58.06,58.14,58.14
16-02-2022,-0.008965632,10286,59.92,60.17,59.22,59.69,59.69
15-02-2022,0.024842607,10286,59.43,60.55,59.28,60.23,60.23
14-02-2022,0.000170184,10286,58.75,59.8,58.05,58.77,58.77
11-02-2022,0.005819925,10286,58.72,59.99,58.21,58.76,58.76
10-02-2022,-0.023403544,10286,59.9,59.9,58.02,58.42,58.42
09-02-2022,0.00083654,10286,59.93,60.92,59.52,59.82,59.82
08-02-2022,0.008435971,10286,59.55,60.38,58.65,59.77,59.77
07-02-2022,-0.011507672,10286,59.84,60.22,59.16,59.27,59.27
04-02-2022,-0.019139539,10286,60.77,62.77,59.12,59.96,59.96
03-02-2022,-0.01291781,10286,62.29,64.01,60.96,61.13,61.13
02-02-2022,-0.029462467,10286,63.95,64.5236,61.59,61.93,61.93
01-02-2022,-0.006848249,10286,64.66,65.43,62.22,63.81,63.81
31-01-2022,0.027671145,10286,62.35,64.39,62.185,64.25,64.25
28-01-2022,0.009038089,10286,61.91,62.52,60.33,62.52,62.52
27-01-2022,-0.025939318,10286,63.87,64.44,61.84,61.96,61.96
26-01-2022,-0.036795881,10286,66.41,66.73,63.02,63.61,63.61
25-01-2022,-0.021484664,10286,66.62,66.83,64.71,66.04,66.04
24-01-2022,0.02787085,10286,65.51,67.79,64.8079,67.49,67.49
21-01-2022,-0.000760919,10286,65.17,68.0883,65.03,65.66,65.66
20-01-2022,-0.0230449,10286,67.57,68.37,65.47,65.71,65.71
19-01-2022,-0.022383721,10286,69.47,69.47,67.13,67.26,67.26
18-01-2022,-0.037223622,10286,70.58,71.21,68.75,68.8,68.8
14-01-2022,-0.009014006,10286,71.44,72.07,70.38,71.46,71.46
13-01-2022,-0.011243658,10286,73.09,73.83,71.95,72.11,72.11
12-01-2022,-0.018570852,10286,74.31,75.12,72.45,72.93,72.93
11-01-2022,0.002157788,10286,74.52,74.81,72.2,74.31,74.31
10-01-2022,0.001215231,10286,73.38,74.73,72.44,74.15,74.15
07-01-2022,-0.029484995,10286,76.45,76.45,73.95,74.06,74.06
06-01-2022,0.006329949,10286,75.73,76.92,75.57,76.31,76.31
05-01-2022,-0.039518683,10286,79.02,79.02,75.74,75.83,75.83
04-01-2022,0.00791523,10286,78.2,80,78.17,78.95,78.95
03-01-2022,-0.013848672,10286,79.24,79.24,77.23,78.33,78.33
31-12-2021,0.003284072,10286,79.32,79.94,78.75,79.43,79.43
30-12-2021,-0.006774558,10286,79.78,80.11,79.095,79.17,79.17
29-12-2021,0.004536862,10286,79.51,79.929,78.735,79.71,79.71
28-12-2021,-0.005763689,10286,80.06,80.36,78.75,79.35,79.35
27-12-2021,0.015782105,10286,78.83,79.9,78.73,79.81,79.81
23-12-2021,-0.000381679,10286,78.9,79.67,76.98,78.57,78.57
22-12-2021,0.008856373,10286,78,78.95,77.84,78.6,78.6
21-12-2021,0.01155544,10286,77.54,78.48,77.01,77.91,77.91
20-12-2021,-0.011169598,10286,77.3,78.95,75.375,77.02,77.02
17-12-2021,0.006200749,10286,77.26,79.16,75.89,77.89,77.89
16-12-2021,-0.017764243,10286,79.13,79.77,77.14,77.41,77.41
15-12-2021,0,10286,78.93,79.21,77.4,78.81,78.81
14-12-2021,-0.024145617,10286,80.49,81.2,78.58,78.81,78.81
13-12-2021,0.007233724,10286,80.9,81.52,80.01,80.76,80.76
10-12-2021,0.003378801,10286,80.08,81.9047,78.83,80.18,80.18
09-12-2021,-0.039543269,10286,82.99,83.425,79.84,79.91,79.91
08-12-2021,0.025135535,10286,81.48,83.79,81.35,83.2,83.2
07-12-2021,0.016024036,10286,80.5,81.85,80.5,81.16,81.16
06-12-2021,0.004527163,10286,80.12,81.8,79.595,79.88,79.88
03-12-2021,0.002900744,10286,79.34,79.72,78.59,79.52,79.52
02-12-2021,0.02534592,10286,77.79,79.5,77.43,79.29,79.29
01-12-2021,-0.008589744,10286,78.42,79.12,77.31,77.33,77.33
30-11-2021,0.005802708,10286,77.39,78.43,76.79,78,78
29-11-2021,-0.006915098,10286,78.53,78.53,77,77.55,77.55
26-11-2021,-0.008129049,10286,76.94,78.23,76.7801,78.09,78.09
24-11-2021,0.006504244,10286,78.26,79.05,77.97,78.73,78.73
